id_produto,nome_produto,categoria,marca,preco_atual,data_criacao
prd_2293732b7542,Cortina Blackout,Casa,Xiaomi,68.90,2022-12-13 17:49:51
prd_84a009f1889d,Cortina Box,Casa,Consul,32.90,2022-08-19 17:49:51
prd_ff35b88df534,SSD 500GB,Eletrônicos,Acer,211.90,2023-06-28 17:49:51
prd_38c1b898aecc,Microfone para Stream,Games,Samsung,140.90,2024-06-12 17:49:51
prd_4ee65ed59110,Frigideira Antiaderente,Cozinha,Philips,41.90,2024-01-29 17:49:51
prd_dfac11815029,Microfone para Stream,Games,Apple,189.00,2023-11-19 17:49:51
prd_334f4a32f979,Persiana Vertical,Casa,Motorola,404.50,2022-10-08 17:49:51
prd_b7490508211e,Vestido Floral,Moda,Apple,220.00,2024-09-13 17:49:51
prd_23664e42a71c,Jogo de Toalhas,Casa,Xiaomi,109.90,2024-01-06 17:49:51
prd_045813f96891,Cardigan de Lã,Moda,LG,142.99,2025-02-02 17:49:51
prd_6d4e3b1efd0c,Necessaire,Acessórios,Xiaomi,1139.99,2022-03-02 17:49:51
prd_afd58e5fd09d,Condicionador Hidratante,Beleza,Asus,451.90,2025-08-20 17:49:51
prd_686e2aab873d,Blusa de Frio,Moda,Philips,89.50,2022-05-27 17:49:51
prd_a4025bac91a7,Óculos de Sol,Acessórios,Xiaomi,52.90,2022-09-23 17:49:51
prd_bf5d8671f7a9,Placa Mãe B450,Informática,Brastemp,119.90,2023-03-29 17:49:51
prd_205f309c1a21,Tapete Persa,Casa,Sony,34.99,2022-08-30 17:49:51
prd_92c0ecf60a58,Jogo de Toalhas,Casa,Brastemp,180.90,2022-11-26 17:49:51
prd_385035a5bc20,Notebook Inspiron 15,Eletrônicos,Adidas,219.90,2024-05-11 17:49:51
prd_9239eec8982d,HD Externo 2TB,Informática,Arno,51.99,2023-03-14 17:49:51
prd_8b22fd85d500,Garrafa Térmica 1L,Cozinha,Sony,324.99,2022-08-04 17:49:51
prd_d500fa66507e,Shorts Jeans,Moda,Electrolux,384.99,2023-01-12 17:49:51
prd_d92ad43fa137,Smart TV 43 Polegadas,Eletrônicos,Philips,66.90,2024-04-13 17:49:51
prd_645f7859f379,Calça Jeans Skinny,Moda,Asus,486.90,2023-04-13 17:49:51
prd_82cd17cb589d,Persiana Vertical,Casa,Dell,44.90,2024-07-09 17:49:51
prd_f063f46a7ef8,Fone de Ouvido Esportivo,Áudio,Consul,1428.99,2022-02-20 17:49:51
prd_d22d1b8b1502,Camisa Social,Moda,Brastemp,1149.90,2023-02-08 17:49:51
prd_30518d908a92,Cinto de Couro,Acessórios,Asus,80.99,2024-09-18 17:49:51
prd_c62100cc281c,Webcam para Stream,Games,Samsung,48.90,2025-10-30 17:49:51
